file,audio_kmeans_lables,id
6tan-20260103032530-1682576876449376,2,6tan
6tan-20260201003226-2302851426868550,0,6tan
87acup-20250217032856-1296577979158985,3,87acup
87acup-20250217032856-1387042432742617,2,87acup
87acup-20250217032856-1813707009291036,2,87acup
87acup-20250217032856-1948327976069026,2,87acup
87acup-20250217032856-1992718734974290,3,87acup
87acup-20250217032856-743331088542788,2,87acup
87acup-20250217032856-903923092010153,2,87acup
87acup-20250217032856-906221028765936,0,87acup
87acup-20250219233125-869894152609904,0,87acup
87acup-20250225234844-1382535196532466,3,87acup
87acup-20250315170440-1519967792433569,0,87acup
87acup-20250319222004-2559605037766364,0,87acup
87acup-20250401221253-4286542181658903,0,87acup
87acup-20250415015832-1231335515635824,3,87acup
87acup-20250416231004-1913503089292402,3,87acup
87acup-20250418010339-1236275931766637,2,87acup
87acup-20250426234005-4221871938128552,3,87acup
87acup-20250501002622-1669499511156847,0,87acup
87acup-20250507062608-4449403108715824,0,87acup
87acup-20250507145023-2109322739824618,3,87acup
87acup-20250530002513-1836016497113492,0,87acup
87acup-20250617021008-888099784098306,0,87acup
87acup-20250618204947-1401644944774309,0,87acup
87acup-20250704193111-1388731286385185,2,87acup
87acup-20250712203849-2909461802577895,2,87acup
87acup-20250718170526-797295113390428,2,87acup
87acup-20250720213407-2099752780800217,0,87acup
87acup-20250721061930-4392824637618654,1,87acup
87acup-20250721160129-1984151562516205,0,87acup
87acup-20250722175101-1202679855258904,2,87acup
87acup-20250724160651-1878956872738389,2,87acup
87acup-20250726094852-825917220494788,3,87acup
87acup-20250726224404-1631939297802074,3,87acup
87acup-20250731001132-1415628750196058,2,87acup
87acup-20250731105301-2139723420220006,1,87acup
87acup-20250801000557-1585666402673287,2,87acup
87acup-20250801222626-2112068242875548,3,87acup
87acup-20250804133339-1569017074216511,3,87acup
87acup-20250805133948-1479765447006348,0,87acup
87acup-20250806155218-1977223306553885,3,87acup
87acup-20250806155709-1221986099438826,2,87acup
87acup-20250806180255-892203983519224,2,87acup
87acup-20250806230006-1920853805976142,3,87acup
87acup-20250806231019-1918573792383005,2,87acup
87acup-20250807011620-2018816015362507,2,87acup
87acup-20250807014112-1141287267951719,3,87acup
87acup-20250807095005-1807322203264666,2,87acup
87acup-20250807213012-1475027927299979,0,87acup
87acup-20250812212013-1384918016744733,2,87acup
87acup-20250813003612-1550624919325014,3,87acup
87acup-20250820150143-911772547910453,0,87acup
87acup-20250828234422-26431138716504630,0,87acup
87acup-20250902195256-848255704896918,2,87acup
87acup-20250904022549-1965565547690869,3,87acup
87acup-20250905191510-1410160017473454,0,87acup
87acup-20250906160921-2152037498932264,0,87acup
87acup-20250907135836-2630700463995144,2,87acup
87acup-20250908164006-778358044700025,3,87acup
87acup-20250910125023-1238774964894556,0,87acup
87acup-20250911223714-866134459561574,0,87acup
87acup-20250914085627-4290383517887647,0,87acup
87acup-20250915010009-1582852989628118,0,87acup
87acup-20250916131403-1251896743504272,3,87acup
87acup-20250917064433-2121250025366573,2,87acup
87acup-20250919133009-940169215001400,3,87acup
87acup-20250924121557-2590829151291416,3,87acup
87acup-20250924182016-3780355825433059,2,87acup
87acup-20250928000146-1512780693115359,1,87acup
87acup-20250929013058-2010269683169670,0,87acup
87acup-20250929131007-886988317382837,2,87acup
87acup-20251002043506-912090534690800,3,87acup
87acup-20251007133016-1615927409608507,2,87acup
87acup-20251013212557-1219894740116455,1,87acup
87acup-20251017000007-1811286486942266,2,87acup
87acup-20251020102632-1972548750346585,0,87acup
87acup-20251021010010-1425626602606174,3,87acup
87acup-20251023181010-1818305498848024,1,87acup
87acup-20251024095017-26756970030556372,0,87acup
87acup-20251029180005-915143247632912,3,87acup
87acup-20251030000007-25751507677877174,2,87acup
87acup-20251030012635-2367814720325184,0,87acup
87acup-20251101085805-1144515317607911,3,87acup
87acup-20251103081008-1539178237779857,2,87acup
87acup-20251105190010-1463133898841304,2,87acup
87acup-20251109230923-3142946482543682,2,87acup
87acup-20251112144010-3032121447176890,2,87acup
87acup-20251114081356-1557928645324818,0,87acup
87acup-20251114221423-1935601403707086,0,87acup
87acup-20251119205311-931448532673661,0,87acup
87acup-20251120184817-26212888594985429,0,87acup
87acup-20251123213311-809127635549686,3,87acup
87acup-20251125144254-898909539204201,0,87acup
87acup-20251127131404-26836885622566778,0,87acup
87acup-20251130010810-893942163592661,3,87acup
87acup-20251202134854-1206956681492217,2,87acup
87acup-20251205222005-1483885493304915,3,87acup
87acup-20251206114550-1659894961661403,0,87acup
87acup-20251209004242-1948579199377998,0,87acup
87acup-20251222014504-1246794924262340,3,87acup
87acup-20251223211008-1878558032752325,0,87acup
87acup-20251227143932-885094387734154,0,87acup
87acup-20251228202009-1939668180319056,0,87acup
87acup-20260102024038-2332075843927555,2,87acup
87acup-20260107024056-4170647416530561,2,87acup
87acup-20260121060714-1554098335879889,0,87acup
ackj0301_ifbbpro-20250209204934-1449091663318648,2,ackj0301_ifbbpro
ackj0301_ifbbpro-20250209204934-1733521424273268,0,ackj0301_ifbbpro
ackj0301_ifbbpro-20250209204934-926926990015418,3,ackj0301_ifbbpro
ackj0301_ifbbpro-20250214141355-1452984509675724,2,ackj0301_ifbbpro
ackj0301_ifbbpro-20250218190022-2327174494435485,1,ackj0301_ifbbpro
