file,visual_kmeans_lables,id
1_shiuan_0-20250829161946-1918338622386496,2,1_shiuan_0
1_shiuan_0-20250901233315-1800970330584369,1,1_shiuan_0
1_shiuan_0-20250908004431-1635094370996640,1,1_shiuan_0
1_shiuan_0-20250909223052-1221341756731464,5,1_shiuan_0
1_shiuan_0-20250912112659-25846509078303795,1,1_shiuan_0
1_shiuan_0-20250928231721-898303446396693,3,1_shiuan_0
1_shiuan_0-20251001001108-3776936692602884,5,1_shiuan_0
1_shiuan_0-20251005152604-1494345115588185,2,1_shiuan_0
1_shiuan_0-20251012100957-945763111225363,1,1_shiuan_0
1_shiuan_0-20251020203122-1225748639679773,5,1_shiuan_0
1_shiuan_0-20251028071053-1221313673545392,5,1_shiuan_0
1_shiuan_0-20251030125425-809805538055634,1,1_shiuan_0
1_shiuan_0-20251107083554-1181003584106860,3,1_shiuan_0
1_shiuan_0-20251112162902-882082697970986,1,1_shiuan_0
1_shiuan_0-20251114194808-1457630906038200,1,1_shiuan_0
1_shiuan_0-20251210143203-1481857756839039,1,1_shiuan_0
1_shiuan_0-20251210151555-922507693703886,1,1_shiuan_0
1_shiuan_0-20251211104927-905647892207621,2,1_shiuan_0
1_shiuan_0-20251216005026-2006081270322414,1,1_shiuan_0
1_shiuan_0-20251217145026-4168660343387425,1,1_shiuan_0
1_shiuan_0-20251219000706-762953093205576,1,1_shiuan_0
1_shiuan_0-20251221174608-1607156906990715,5,1_shiuan_0
1_shiuan_0-20251226113517-1249200810646638,1,1_shiuan_0
1_shiuan_0-20251228165018-1307874981171852,2,1_shiuan_0
1_shiuan_0-20260105072912-2695879590779963,1,1_shiuan_0
1_shiuan_0-20260106010716-1996527674552694,1,1_shiuan_0
1_shiuan_0-20260118234323-26209735688659893,1,1_shiuan_0
1_shiuan_0-20260123072828-25594894386849557,3,1_shiuan_0
1_shiuan_0-20260130060524-27181116821477453,5,1_shiuan_0
20141010hero-20250727185613-933535239260054,0,20141010hero
20141010hero-20250728102317-1625962955108872,5,20141010hero
20141010hero-20250730221253-1464377325322334,5,20141010hero
20141010hero-20250804151607-1842658253062859,2,20141010hero
20141010hero-20250916231424-1483946276409417,5,20141010hero
20141010hero-20251030125029-1442570270738980,5,20141010hero
20141010hero-20251107114558-933956125787125,5,20141010hero
20141010hero-20251201201407-888419534183373,5,20141010hero
20141010hero-20251208231759-856400384125901,5,20141010hero
20141010hero-20251213033119-1893064737985044,5,20141010hero
20141010hero-20251214224235-877623228428457,3,20141010hero
20141010hero-20251219043208-1637044670781870,3,20141010hero
20141010hero-20251229212626-1691247852038988,3,20141010hero
20141010hero-20251231171320-2362152497571008,3,20141010hero
2uncle987-20251205183250-1222976402638439,5,2uncle987
2uncle987-20251205204035-3935026243297247,4,2uncle987
2uncle987-20251206010015-871782429050764,4,2uncle987
2uncle987-20251206032231-25860232900329773,5,2uncle987
2uncle987-20251208011013-932012056116281,3,2uncle987
2uncle987-20251208015015-1990681081490075,5,2uncle987
2uncle987-20251209000113-928521006194064,1,2uncle987
2uncle987-20251209150231-1268563104677068,1,2uncle987
2uncle987-20251211212342-2298359230639557,4,2uncle987
2uncle987-20251214151258-4472655649723698,3,2uncle987
2uncle987-20251214152859-1632641067912489,1,2uncle987
2uncle987-20251218180059-1971759340388402,1,2uncle987
2uncle987-20251218182958-1968448914079781,5,2uncle987
2uncle987-20251219211122-25798658606460423,2,2uncle987
2uncle987-20251220193200-1465930788873838,5,2uncle987
2uncle987-20251220202003-1241239544637074,5,2uncle987
2uncle987-20251222151717-4220549664927887,4,2uncle987
2uncle987-20251222190559-1474426747619122,5,2uncle987
2uncle987-20251222230954-1588076909001983,3,2uncle987
2uncle987-20251224020136-923869079987200,5,2uncle987
2uncle987-20251224164013-25964264076526880,4,2uncle987
2uncle987-20251224232223-935339935513152,5,2uncle987
2uncle987-20251225020334-871748182300543,3,2uncle987
2uncle987-20251226013802-882634471191959,4,2uncle987
2uncle987-20251227224017-1409273524018586,1,2uncle987
2uncle987-20251228124314-4252000911755003,3,2uncle987
2uncle987-20251229232336-4480354758900128,2,2uncle987
2uncle987-20251230003533-1429458425637877,1,2uncle987
2uncle987-20260101215701-1458967585903507,1,2uncle987
2uncle987-20260105003018-911187931376624,1,2uncle987
6tan-20250109173328-756575627101521,2,6tan
6tan-20250114183527-1227964566208756,2,6tan
6tan-20250130050143-775300035600818,2,6tan
6tan-20250203153102-2796133080737409,5,6tan
6tan-20250317213804-1652311595929564,2,6tan
6tan-20250329213520-1242617811130788,2,6tan
6tan-20250502023320-1317632350391912,5,6tan
6tan-20250626114259-889727883911815,2,6tan
6tan-20250630065217-875583695228294,2,6tan
6tan-20250708110241-25421823907519753,2,6tan
6tan-20250708183755-2151704985575030,3,6tan
6tan-20250711102812-924522193334732,1,6tan
6tan-20250716134156-1423712392623955,0,6tan
6tan-20250718193420-1267515371932375,0,6tan
6tan-20250727210809-3938994553065106,0,6tan
6tan-20250731125234-889719916791134,2,6tan
6tan-20250801135428-1959614391256272,3,6tan
6tan-20250802204346-1684733832899863,2,6tan
6tan-20250803211331-1605851240425726,4,6tan
6tan-20250816114402-1495471088873074,0,6tan
6tan-20250819071306-1553874782337076,0,6tan
6tan-20250822161354-930825645948638,2,6tan
6tan-20250826191835-1271451198373199,2,6tan
6tan-20250902044255-1282842650320627,2,6tan
6tan-20250902121134-1192173199744883,3,6tan
6tan-20250902215218-1314242957389605,2,6tan
6tan-20250904075620-1201101518851553,0,6tan
6tan-20250906111118-735331926085357,0,6tan
6tan-20250907143817-876183345211176,5,6tan
6tan-20250916002104-1455895366118301,0,6tan
6tan-20250918190206-1411687423764353,0,6tan
6tan-20250920170153-25228624583478698,0,6tan
6tan-20250930095326-1375218407266580,0,6tan
6tan-20251025153002-1418919133192597,3,6tan
6tan-20251101114654-730481446587667,3,6tan
6tan-20251101225742-2072755733516201,3,6tan
6tan-20251120123115-875016388708304,5,6tan
6tan-20251203235735-1249949137077563,3,6tan
6tan-20251204032132-1802778357077732,2,6tan
6tan-20251207160114-1832345574139271,5,6tan
6tan-20251212185045-1187723599807077,0,6tan
6tan-20260103032530-1682576876449376,2,6tan
6tan-20260201003226-2302851426868550,0,6tan
87acup-20250217032856-1296577979158985,5,87acup
87acup-20250217032856-1387042432742617,1,87acup
87acup-20250217032856-1813707009291036,1,87acup
87acup-20250217032856-1948327976069026,3,87acup
87acup-20250217032856-1992718734974290,5,87acup
87acup-20250217032856-743331088542788,1,87acup
87acup-20250217032856-903923092010153,1,87acup
87acup-20250217032856-906221028765936,3,87acup
87acup-20250219233125-869894152609904,1,87acup
87acup-20250225234844-1382535196532466,1,87acup
87acup-20250315170440-1519967792433569,1,87acup
87acup-20250319222004-2559605037766364,1,87acup
87acup-20250401221253-4286542181658903,1,87acup
87acup-20250415015832-1231335515635824,5,87acup
87acup-20250416231004-1913503089292402,5,87acup
87acup-20250418010339-1236275931766637,1,87acup
87acup-20250426234005-4221871938128552,5,87acup
87acup-20250501002622-1669499511156847,1,87acup
87acup-20250507062608-4449403108715824,1,87acup
87acup-20250507145023-2109322739824618,5,87acup
87acup-20250530002513-1836016497113492,1,87acup
87acup-20250617021008-888099784098306,1,87acup
87acup-20250618204947-1401644944774309,1,87acup
87acup-20250704193111-1388731286385185,3,87acup
87acup-20250712203849-2909461802577895,1,87acup
87acup-20250718170526-797295113390428,3,87acup
87acup-20250720213407-2099752780800217,1,87acup
87acup-20250721061930-4392824637618654,2,87acup
87acup-20250721160129-1984151562516205,3,87acup
87acup-20250722175101-1202679855258904,3,87acup
87acup-20250724160651-1878956872738389,3,87acup
87acup-20250726094852-825917220494788,5,87acup
87acup-20250726224404-1631939297802074,5,87acup
87acup-20250731001132-1415628750196058,1,87acup
87acup-20250731105301-2139723420220006,4,87acup
87acup-20250801000557-1585666402673287,1,87acup
87acup-20250801222626-2112068242875548,5,87acup
87acup-20250804133339-1569017074216511,5,87acup
87acup-20250805133948-1479765447006348,1,87acup
87acup-20250806155218-1977223306553885,5,87acup
87acup-20250806155709-1221986099438826,1,87acup
87acup-20250806180255-892203983519224,3,87acup
87acup-20250806230006-1920853805976142,5,87acup
87acup-20250806231019-1918573792383005,1,87acup
87acup-20250807011620-2018816015362507,1,87acup
87acup-20250807014112-1141287267951719,5,87acup
87acup-20250807095005-1807322203264666,1,87acup
87acup-20250807213012-1475027927299979,3,87acup
87acup-20250812212013-1384918016744733,3,87acup
87acup-20250813003612-1550624919325014,5,87acup
87acup-20250820150143-911772547910453,1,87acup
87acup-20250828234422-26431138716504630,0,87acup
87acup-20250902195256-848255704896918,3,87acup
87acup-20250904022549-1965565547690869,5,87acup
87acup-20250905191510-1410160017473454,1,87acup
87acup-20250906160921-2152037498932264,1,87acup
